UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
93,M14952,M,298.9,308.9,1727,27.1,37,0,No Failure
94,L47273,L,299.1,309,1450,43,40,0,No Failure
95,L47274,L,299,308.9,1622,31.9,42,0,No Failure
96,M14955,M,299,309,1351,52.2,44,0,No Failure
97,M14956,M,299,309,1575,35.3,47,0,No Failure
98,M14957,M,298.9,308.9,1750,29.9,50,0,No Failure
99,L47278,L,298.9,308.8,1529,32.7,53,0,No Failure
100,L47279,L,298.8,308.8,1523,44.4,55,0,No Failure
101,L47280,L,298.8,308.9,1852,25,57,0,No Failure
102,L47281,L,298.8,308.8,1991,20.7,59,0,No Failure
103,L47282,L,298.8,308.8,1555,40.6,61,0,No Failure
104,M14963,M,298.8,308.8,1441,40.5,63,0,No Failure
105,L47284,L,298.8,308.7,1450,43.4,66,0,No Failure
106,L47285,L,298.8,308.7,1591,31.1,68,0,No Failure
107,L47286,L,298.8,308.7,1445,48.5,70,0,No Failure
108,M14967,M,298.8,308.8,1497,46.8,72,0,No Failure
109,H29522,H,298.9,308.8,1621,32.7,75,0,No Failure
110,L47289,L,298.9,308.7,1572,34.1,80,0,No Failure
111,L47290,L,298.8,308.6,1872,22.5,82,0,No Failure
112,H29525,H,298.7,308.6,1499,43.5,84,0,No Failure
113,M14972,M,298.8,308.7,1498,39.5,89,0,No Failure
114,M14973,M,298.8,308.6,1486,41.9,92,0,No Failure
115,L47294,L,298.8,308.6,1680,29.4,95,0,No Failure
116,L47295,L,298.8,308.6,1431,45.7,97,0,No Failure
117,L47296,L,298.9,308.7,1564,34.1,99,0,No Failure
118,L47297,L,298.8,308.6,1599,33,101,0,No Failure
119,M14978,M,298.8,308.6,1707,28.1,103,0,No Failure
120,L47299,L,298.7,308.5,1467,40.7,106,0,No Failure
121,L47300,L,298.9,308.7,1433,44.7,108,0,No Failure
122,L47301,L,298.9,308.7,1558,41.2,110,0,No Failure
123,L47302,L,299,308.8,1310,50.7,112,0,No Failure
124,L47303,L,298.9,308.7,1546,43.4,114,0,No Failure
125,L47304,L,298.9,308.7,1727,29.4,116,0,No Failure
126,L47305,L,298.9,308.6,1560,32.2,118,0,No Failure
127,L47306,L,299,308.6,1329,60.5,120,0,No Failure
128,L47307,L,298.9,308.6,1413,46.5,122,0,No Failure
129,L47308,L,299,308.6,1587,38.6,124,0,No Failure
130,L47309,L,298.9,308.5,1559,34.3,126,0,No Failure
131,L47310,L,298.8,308.4,1473,41.1,128,0,No Failure
132,L47311,L,298.8,308.4,1737,27.7,130,0,No Failure
133,M14992,M,298.7,308.4,1441,43.2,132,0,No Failure
134,M14993,M,298.7,308.4,1430,49.6,135,0,No Failure
135,L47314,L,298.8,308.4,1369,53,138,0,No Failure
136,M14995,M,298.8,308.5,1711,28.5,140,0,No Failure
137,H29550,H,298.7,308.5,1420,45.7,143,0,No Failure
138,L47317,L,298.7,308.6,1297,55.3,148,0,No Failure
139,H29552,H,298.8,308.6,1449,49.4,150,0,No Failure
140,L47319,L,298.8,308.6,1268,55.8,155,0,No Failure
141,L47320,L,298.8,308.6,1511,36.1,157,0,No Failure
142,L47321,L,298.7,308.5,1544,35.2,159,0,No Failure
143,M15002,M,298.6,308.4,1778,28.2,161,0,No Failure
144,H29557,H,298.6,308.4,1407,50.5,164,0,No Failure
145,M15004,M,298.6,308.4,1391,42.4,169,0,No Failure
146,L47325,L,298.5,308.4,1513,33.6,172,0,No Failure
147,H29560,H,298.5,308.4,1612,36.1,174,0,No Failure
148,L47327,L,298.4,308.4,1515,40.1,179,0,No Failure
149,M15008,M,298.3,308.3,1379,48,181,0,No Failure
150,L47329,L,298.4,308.3,1473,39.9,184,0,No Failure
151,L47330,L,298.4,308.3,1422,42.7,186,0,No Failure
152,M15011,M,298.4,308.2,1463,37.6,188,0,No Failure
153,M15012,M,298.4,308.2,1584,41,191,0,No Failure
154,L47333,L,298.4,308.2,1850,27,194,0,No Failure
155,L47334,L,298.4,308.2,1528,36.2,196,0,No Failure
156,H29569,H,298.4,308.2,1987,19.8,198,0,No Failure
157,M15016,M,298.4,308.1,1495,46,203,0,No Failure
158,H29571,H,298.4,308.2,1478,43.5,206,0,No Failure
159,M15018,M,298.4,308.2,1499,40,211,0,No Failure
160,L47339,L,298.4,308.2,1471,47,214,0,No Failure
161,L47340,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure
162,L47341,L,298.3,308.1,1412,52.3,218,1,Overstrain Failure
163,L47342,L,298.3,308.1,1586,35.5,0,0,No Failure
164,M15023,M,298.4,308.2,1468,43.8,2,0,No Failure
165,M15024,M,298.5,308.3,1440,43.6,5,0,No Failure
166,L47345,L,298.5,308.4,1733,26,8,0,No Failure
167,H29580,H,298.4,308.2,1612,32.6,10,0,No Failure
168,H29581,H,298.4,308.3,1458,42.9,15,0,No Failure
169,L47348,L,298.4,308.3,1433,62.3,20,1,Power Failure
170,L47349,L,298.4,308.3,1318,59.1,22,0,No Failure
171,M15030,M,298.4,308.2,1610,35,24,0,No Failure
172,L47351,L,298.2,308.1,1462,50.8,27,0,No Failure
173,M15032,M,298.1,308,1924,20.8,29,0,No Failure
174,M15033,M,298.2,308,1591,33.7,32,0,No Failure
175,L47354,L,298.2,308.1,1306,58.3,35,0,No Failure
176,L47355,L,298.2,308.1,1382,43.5,37,0,No Failure
177,L47356,L,298.2,308.1,1618,34.7,39,0,No Failure
178,L47357,L,298.2,308.2,1988,21.4,41,0,No Failure
179,L47358,L,298.2,308.2,1436,50.2,43,0,No Failure
180,L47359,L,298.2,308.3,1304,49.8,45,0,No Failure
181,L47360,L,298.2,308.3,1475,49.9,47,0,No Failure
182,H29595,H,298.2,308.3,1824,24.2,49,0,No Failure
183,M15042,M,298.1,308.2,1342,48.1,54,0,No Failure
184,L47363,L,298.1,308.2,1485,40.7,57,0,No Failure
185,L47364,L,298.2,308.2,1667,30.6,59,0,No Failure
186,L47365,L,298.2,308.2,1446,38.2,61,0,No Failure
187,L47366,L,298.1,308.3,1301,56,63,0,No Failure
188,L47367,L,298.2,308.4,1379,43.1,65,0,No Failure
189,L47368,L,298.3,308.5,1606,33.6,67,0,No Failure
190,M15049,M,298.3,308.4,1539,43.4,69,0,No Failure
191,L47370,L,298.2,308.4,1477,49.9,72,0,No Failure
192,L47371,L,298.2,308.4,1666,34.6,74,0,No Failure
193,H29606,H,298.2,308.4,1398,51.8,76,0,No Failure
194,H29607,H,298.2,308.4,1678,34.6,81,0,No Failure
195,M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure
196,L47375,L,298.3,308.5,1453,42.9,89,0,No Failure
197,H29610,H,298.3,308.6,1432,49.5,91,0,No Failure
198,M15057,M,298.4,308.6,1527,40.9,96,0,No Failure
199,L47378,L,298.4,308.7,1588,35,99,0,No Failure
200,L47379,L,298.4,308.6,1433,47.1,101,0,No Failure
201,L47380,L,298.4,308.6,1609,35,103,0,No Failure
202,L47381,L,298.3,308.5,1575,41.2,105,0,No Failure
203,M15062,M,298.4,308.5,1636,35.7,107,0,No Failure
